=== WORKFLOW_STEPS DATA ===
ID:1 | KEY:draft | LABEL:Draft / Pengumpulan Persyaratan | BEHAVIOR:0
ID:2 | KEY:pembayaran_admin | LABEL:Pembayaran Administrasi | BEHAVIOR:1
ID:3 | KEY:validasi_sertifikat | LABEL:Validasi Sertifikat | BEHAVIOR:1
ID:4 | KEY:pencecekan_sertifikat | LABEL:Pengecekan Sertifikat | BEHAVIOR:1
ID:5 | KEY:pembayaran_pajak | LABEL:Pembayaran Pajak | BEHAVIOR:2
ID:6 | KEY:validasi_pajak | LABEL:Validasi Pajak | BEHAVIOR:2
ID:7 | KEY:penomoran_akta | LABEL:Penomoran Akta | BEHAVIOR:2
ID:8 | KEY:pendaftaran | LABEL:Pendaftaran | BEHAVIOR:2
ID:9 | KEY:pembayaran_pnbp | LABEL:Pembayaran PNBP | BEHAVIOR:2
ID:10 | KEY:pemeriksaan_bpn | LABEL:Pemeriksaan BPN | BEHAVIOR:2
ID:11 | KEY:perbaikan | LABEL:Perbaikan | BEHAVIOR:3
ID:12 | KEY:selesai | LABEL:Selesai | BEHAVIOR:4
ID:13 | KEY:diserahkan | LABEL:Diserahkan | BEHAVIOR:5
ID:14 | KEY:ditutup | LABEL:Ditutup | BEHAVIOR:6
ID:15 | KEY:batal | LABEL:Batal | BEHAVIOR:7
